file,year,kai,track,nichi,bytes
2025-5hanshin8.pdf,2025,5,hanshin,8,734605
2025-1nakayama1.pdf,2025,1,nakayama,1,725101
2025-1nakayama2.pdf,2025,1,nakayama,2,707523
2025-1nakayama3.pdf,2025,1,nakayama,3,678970
2025-1nakayama4.pdf,2025,1,nakayama,4,762403
2025-1nakayama5.pdf,2025,1,nakayama,5,730226
2025-1nakayama6.pdf,2025,1,nakayama,6,718830
2025-1nakayama7.pdf,2025,1,nakayama,7,723883
2025-1nakayama8.pdf,2025,1,nakayama,8,645156
2025-1nakayama9.pdf,2025,1,nakayama,9,745091
2025-2nakayama1.pdf,2025,2,nakayama,1,666923
2025-2nakayama2.pdf,2025,2,nakayama,2,718931
2025-2nakayama3.pdf,2025,2,nakayama,3,663350
2025-2nakayama4.pdf,2025,2,nakayama,4,801924
2025-2nakayama5.pdf,2025,2,nakayama,5,663776
2025-2nakayama6.pdf,2025,2,nakayama,6,741829
2025-2nakayama7.pdf,2025,2,nakayama,7,720991
2025-2nakayama8.pdf,2025,2,nakayama,8,734566
2025-3nakayama1.pdf,2025,3,nakayama,1,671690
2025-3nakayama2.pdf,2025,3,nakayama,2,485690
2025-3nakayama3.pdf,2025,3,nakayama,3,1055768
2025-3nakayama4.pdf,2025,3,nakayama,4,548020
2025-3nakayama5.pdf,2025,3,nakayama,5,672972
2025-3nakayama6.pdf,2025,3,nakayama,6,727264
2025-3nakayama7.pdf,2025,3,nakayama,7,670239
2025-3nakayama8.pdf,2025,3,nakayama,8,498978
2025-4nakayama1.pdf,2025,4,nakayama,1,641098
2025-4nakayama2.pdf,2025,4,nakayama,2,701833
2025-4nakayama3.pdf,2025,4,nakayama,3,716173
2025-4nakayama4.pdf,2025,4,nakayama,4,694058
2025-4nakayama5.pdf,2025,4,nakayama,5,815368
2025-4nakayama6.pdf,2025,4,nakayama,6,440533
2025-4nakayama7.pdf,2025,4,nakayama,7,754864
2025-4nakayama8.pdf,2025,4,nakayama,8,674274
2025-4nakayama9.pdf,2025,4,nakayama,9,740100
2025-5nakayama1.pdf,2025,5,nakayama,1,746349
2025-5nakayama2.pdf,2025,5,nakayama,2,726537
2025-5nakayama3.pdf,2025,5,nakayama,3,719650
2025-5nakayama4.pdf,2025,5,nakayama,4,708423
2025-5nakayama5.pdf,2025,5,nakayama,5,710849
2025-5nakayama6.pdf,2025,5,nakayama,6,738999
2025-5nakayama7.pdf,2025,5,nakayama,7,738441
2025-5nakayama8.pdf,2025,5,nakayama,8,745368
2026-1hanshin1.pdf,2026,1,hanshin,1,678545
2026-1hanshin2.pdf,2026,1,hanshin,2,673739
2026-1hanshin3.pdf,2026,1,hanshin,3,662304
2026-1hanshin4.pdf,2026,1,hanshin,4,711717
2026-1hanshin5.pdf,2026,1,hanshin,5,664546
2026-1hanshin6.pdf,2026,1,hanshin,6,694432
2026-1hanshin7.pdf,2026,1,hanshin,7,661361
2026-1hanshin8.pdf,2026,1,hanshin,8,690948
2026-1hanshin9.pdf,2026,1,hanshin,9,609517
2026-1hanshin10.pdf,2026,1,hanshin,10,496244
2026-2hanshin1.pdf,2026,2,hanshin,1,631765
2026-2hanshin2.pdf,2026,2,hanshin,2,677228
2026-2hanshin3.pdf,2026,2,hanshin,3,666971
2026-2hanshin4.pdf,2026,2,hanshin,4,719618
2026-2hanshin5.pdf,2026,2,hanshin,5,665662
2026-2hanshin6.pdf,2026,2,hanshin,6,739350
2026-2hanshin7.pdf,2026,2,hanshin,7,668179
2026-2hanshin8.pdf,2026,2,hanshin,8,742597
2026-3hanshin1.pdf,2026,3,hanshin,1,713634
2026-3hanshin2.pdf,2026,3,hanshin,2,715764
2026-3hanshin3.pdf,2026,3,hanshin,3,667027
2026-3hanshin4.pdf,2026,3,hanshin,4,720756
2026-3hanshin5.pdf,2026,3,hanshin,5,463201
2026-3hanshin6.pdf,2026,3,hanshin,6,724852
2026-4hanshin1.pdf,2026,4,hanshin,1,674312
2026-4hanshin2.pdf,2026,4,hanshin,2,710228
2026-1nakayama1.pdf,2026,1,nakayama,1,698019
2026-1nakayama2.pdf,2026,1,nakayama,2,672651
2026-1nakayama3.pdf,2026,1,nakayama,3,643289
2026-1nakayama4.pdf,2026,1,nakayama,4,458350
2026-1nakayama5.pdf,2026,1,nakayama,5,744502
